Language1,Language2,CollaborationScore
XML,S-expression,0.8333333333333333
XML,Scheme,0.5740740740740741
XML,ML,0.49814814814814806
XML,Prolog,0.2685185185185185
XML,CLP,0.19444444444444442
XML,LIFE,0.19047619047619047
XML,AKL,0.2364021164021164
XML,Oz,0.27976899092970514
XML,Alice,0.27249622071050644
XML,Curry,0.253560405643739
XML,HasKell,0.33888888888888885
XML,Pipes,0.19999999999999998
XML,E,0.15806878306878305
XML,FCP,2.7777777777777776e-2
XML,FrTime,2.3809523809523808e-2
XML,Esterel,0.1875
XML,CLU,0.19999999999999998
XML,OCaml,0.34722222222222215
XML,Erlang,3.333333333333333e-2
XML,CSP,2.7777777777777776e-2
XML,Occam,2.7777777777777776e-2
XML,Pascal,0.38888888888888884
XML,C,0.38888888888888884
XML,DijkstraGCL,4.1666666666666664e-2
XML,SNOBOL,0.20833333333333331
XML,Icon,0.20833333333333331
XML,Java,3.333333333333333e-2
XML,C++,3.333333333333333e-2
XML,Smalltalk,3.333333333333333e-2
S-expression,XML,0.8333333333333333
S-expression,Scheme,0.5740740740740741
S-expression,ML,0.49814814814814806
S-expression,Prolog,0.2685185185185185
S-expression,CLP,0.19444444444444442
S-expression,LIFE,0.19047619047619047
S-expression,AKL,0.2364021164021164
S-expression,Oz,0.27976899092970514
S-expression,Alice,0.27249622071050644
S-expression,Curry,0.253560405643739
S-expression,HasKell,0.33888888888888885
S-expression,Pipes,0.19999999999999998
S-expression,E,0.15806878306878305
S-expression,FCP,2.7777777777777776e-2
S-expression,FrTime,2.3809523809523808e-2
S-expression,Esterel,0.1875
S-expression,CLU,0.19999999999999998
S-expression,OCaml,0.34722222222222215
S-expression,Erlang,3.333333333333333e-2
S-expression,CSP,2.7777777777777776e-2
S-expression,Occam,2.7777777777777776e-2
S-expression,Pascal,0.38888888888888884
S-expression,C,0.38888888888888884
S-expression,DijkstraGCL,4.1666666666666664e-2
S-expression,SNOBOL,0.20833333333333331
S-expression,Icon,0.20833333333333331
S-expression,Java,3.333333333333333e-2
S-expression,C++,3.333333333333333e-2
S-expression,Smalltalk,3.333333333333333e-2
Scheme,XML,0.574074074074074
Scheme,S-expression,0.574074074074074
Scheme,ML,0.7736111111111109
Scheme,Prolog,0.5046296296296297
Scheme,CLP,0.5376984126984126
Scheme,LIFE,0.5307539682539683
Scheme,AKL,0.37798500881834207
Scheme,Oz,0.36658399470899455
Scheme,Alice,0.36675878684807245
Scheme,Curry,0.4497552910052908
Scheme,HasKell,0.6124999999999999
Scheme,Pipes,0.6027777777777777
Scheme,E,0.4293650793650794
Scheme,FCP,0.48214285714285704
Scheme,FrTime,0.41964285714285704
